Zip,Total Population,Median Age,Percent White,Percent Black,Percent Hispanic,Median Income,Mean Income
11361,28926,41.3,57.4,3.2,15.2,72599,86871
11362,17492,47.4,59.2,2.5,11.5,83566,95762
11363,7052,42.2,61.7,0.9,11.5,91728,129809
11364,35372,40.8,49.6,1.5,8.1,73010,83314
11365,41283,39.4,37.5,7.9,16.4,57486,73725
11366,14160,41.9,47.9,7.9,10,77244,96377
11367,38835,34.6,57.8,11.9,15.4,50578,69054
11368,103401,31.3,45.3,12.2,71.6,46041,56619
11369,39677,34.5,23.5,18.3,62.6,56307,67189
11370,38370,33.5,34.8,17.1,37.7,57334,73882
11371,0,,,,,,
11372,63520,38.4,53,2.6,55.9,48400,61056
11373,96474,35.8,39.7,1.5,41.6,45585,59333
11374,42888,40.2,63,3,15.6,54339,74227
11375,69266,42.6,62.7,2.6,11.5,72394,93527
11377,87143,36,46.5,3.1,38.7,49415,62042
11378,33672,39.6,82.1,0.9,24.5,59472,69078
11379,34529,43.8,85.9,1.8,17.3,63511,77628
11385,99295,34.1,79.4,1.9,45.9,50811,63978
11411,20426,42.6,3.2,92.5,4.1,82703,94772
11412,36932,38.3,1.7,90.1,5.5,69796,79251
11413,39922,39.4,2.8,93.4,4.1,77352,87032
11414,28480,45.8,84.7,4,21.1,65049,82914
11415,18677,38.7,60.4,8.2,28.1,55515,71931
11416,23852,32,27.9,7.4,44,53821,67401
11417,29928,35.2,41.6,7.8,34.5,59810,72424
11418,36005,34.7,40.6,11.4,43.4,57899,70077
11419,48138,35.8,12.2,18.3,16.9,54829,68729
11420,47243,35.9,17.8,29.3,24.7,61587,77274
11421,40975,33.7,38.3,6.3,57.2,55120,69656
11422,31739,36.8,9.8,82.9,7,82525,91175
11423,30890,39.7,17.6,40.3,17.4,57751,76616
11424,0,,,,,,
11425,0,,,,,,
11426,19165,38.8,44.2,4.2,16.5,78151,93152
11427,24385,39.7,29.2,26.8,14.9,69753,84788
11428,19764,38.6,25.9,23.3,25.6,73794,85282
11429,29167,37,7.2,82.3,10.8,75587,84655
11430,53,38.9,11.3,58.5,39.6,,
11432,56900,36.5,20.4,17.3,25.7,49929,69479
11433,30076,32.3,2.6,77,14.2,41274,55849
11434,61183,36.7,2.8,87.2,9.3,57027,68809
11435,52358,34.9,21.9,24.3,32.4,54086,65131
11436,16956,37.6,2.9,73.9,10.9,58925,71812
11451,0,,,,,,
11501,18981,42.7,83.1,2.1,16,80369,97007
11507,7751,43.2,67.8,0,5.8,97267,123787
11509,2250,53.4,94.7,3.7,2,106146,182399
11510,32234,39.3,60.3,27.5,16.3,100548,111046
11514,5395,41.1,80.2,1.1,14.6,85064,92493
11516,7479,34.3,87.2,2.9,7.9,82768,119670
11518,10610,40.8,95.2,2.8,7.4,94021,109346
11520,43168,38,42.5,31.4,42.4,71158,87670
11530,27835,41.7,91.3,1.8,5.6,128804,187876
11542,27459,40.9,69.7,6.7,27.7,68064,94915
11545,11962,45.3,89.8,1.6,4.9,133986,211880
11547,566,40.5,97,0,10.6,93958,117276
11548,2301,20.6,63.2,15.5,9.6,89375,132711
11549,2740,20.4,68.6,9.3,12.8,,
11550,56045,33.3,25.6,47.2,41.3,56345,69032
11552,22975,39.2,62.1,20,14.1,97375,109337
11553,26032,32.4,31,54.5,28.4,74471,86052
11554,37390,41.3,77.9,4.7,11.4,91828,102912
11556,0,,,,,,
11557,8047,44.9,84.1,0.5,7.9,111473,164982
11558,8485,45.4,83.2,1.4,18.4,77740,96599
11559,7931,36,94.4,1.3,8.4,115217,168729
11560,6501,45.1,93.6,1.1,7.3,97083,195652
11561,37370,43.4,83.8,4.3,13.1,83563,104712
11563,22453,43.3,89.8,2.1,15.2,90461,103124
11565,8909,41.6,90.4,0.4,7.7,117002,135841
11566,34081,43,92.6,1.3,6.4,127125,143052
11568,3802,27.4,69.9,7.6,4.8,193452,297366
11569,1459,49.6,100,0,0,106688,169260
11570,26917,42.4,84.7,10.4,8.7,107694,141494
11572,29210,43.8,94.9,0.3,7.9,94755,110583
11575,15677,33.5,15.2,68.9,28.5,65946,78643
11576,12190,45.8,82.1,1.5,2.6,155570,250477
11577,12230,41.4,71.5,4.7,7.3,117803,160325
11579,5290,43.4,92.9,3.1,10.3,98281,127915
11580,40441,38.3,41.8,29.2,22.3,87314,100138
11581,20129,39,70.4,9.9,14.4,100359,109806
11590,43599,36.9,48,21.3,26.5,83782,104021
11596,10412,43.9,85,0.4,5.1,106212,134103
11598,12896,42.5,90.5,1.5,6.1,129178,187414
11691,59376,30.8,37.5,51.8,27.1,38415,54866
11692,17070,32.6,18.4,71.9,21.7,36875,54133
11693,11407,39.6,55.5,36.1,16.7,50443,65689
11694,20792,45,84.9,9.6,13.4,73196,92893
11697,4381,49.3,99.6,0.1,1.3,86941,105975
11701,27198,39.4,47.9,42.7,18.6,67276,85470
11702,15372,40.9,90,3.3,8.5,100360,125036
11703,15852,39.4,86.4,7.3,10.2,87765,99253
11704,41127,39,76.3,12.8,14.4,80387,90574
11705,7976,40.3,94.5,3,6.2,98622,118015
11706,65982,35.6,61.3,16.5,38.9,75020,90088
11709,6689,43.4,95.8,0.6,4.1,83438,105980
11710,34735,41.8,89.9,1.2,7.2,104192,123183
11713,10122,36.1,66,22.6,16,78187,98329
11714,23873,41.7,88.6,0.1,11.1,85398,110264
11715,4610,43.2,96.9,0,3.4,101274,109016
11716,10951,40.2,97,0.6,8.5,90823,102108
11717,56154,32.9,51.2,16.5,65.3,70816,81331
11718,3121,40.8,92.3,0.3,6.2,129018,148914
11719,2816,46.8,85.7,8.8,10.2,87153,116676
11720,30407,37.8,86.2,3.8,13,95067,105040
11721,6577,42.6,95.5,0.7,3.6,102721,133407
11722,37919,32.6,50.1,23.4,53.5,70236,80083
11724,3013,42.5,93.4,0,7.9,134858,233470
11725,28927,42.6,93.3,0.5,4.3,107345,125433
11726,19091,36.8,69.9,17.4,33.8,73789,83803
11727,28496,38.7,71.7,13.2,14.9,78816,92021
11729,27948,40.1,74.2,13.7,11.9,78723,89523
11730,13643,41.2,95.8,2.3,8.7,98050,122579
11731,30562,40.5,94.8,0.9,5.1,102725,117782
11732,3188,42.1,93.9,1,3.9,96958,128875
11733,18259,41.8,87.2,1.4,6.4,116060,159062
11735,32226,41.5,87.2,3.2,13.6,88214,103928
11738,17956,36.1,88.8,2.9,12.5,89577,99813
11739,1556,42.2,91.6,0,5,127813,177205
11740,9262,41.6,92.5,2,7.9,93750,120261
11741,27551,40.4,89.4,3,11.2,94987,102802
11742,12724,37,89.4,1.1,10.5,90455,104621
11743,42639,43.4,86.8,5.7,6.8,114742,158670
11746,66584,39.8,77.1,5.6,19.2,100223,130122
11747,19676,44,84.7,5,3.3,106809,144906
11749,3389,38.4,68.3,17.8,33.7,94543,97946
11751,14393,40.6,92.2,4.2,11.9,88924,108662
11752,9649,41.2,93.8,0.7,12.2,92105,102891
11753,11777,45,74.9,1.8,0.6,157907,203307
11754,19162,42.3,96.4,0.4,4.9,97485,112485
11755,12082,39.6,90.1,1.6,6.3,95565,109706
11756,43478,40.7,89.4,0.7,13.3,95305,107393
11757,45298,40.1,92.6,2,12.8,83839,96613
11758,54699,42.4,93.1,3.3,8.2,104216,119851
11762,22221,43.5,96,0.5,5.7,104922,121055
11763,29448,36.8,83.7,7.5,20.3,86250,92746
11764,13420,39.8,92.6,2.8,6.3,120710,131167
11765,536,51.6,90.3,0,9.5,156818,388136
11766,11781,42.3,90.3,2.7,5.1,111914,135965
11767,14572,40.5,95.3,1,5.1,107774,115254
11768,21859,44.6,94.8,0.6,2.4,116897,158316
11769,9022,43.9,95.1,0.4,4,94051,108102
11770,238,31.9,92,0,0,65750,106847
11771,9228,46.8,87.8,5.3,6.8,100469,196369
11772,44623,37.4,86.3,7.1,20,66819,75802
11776,24059,38.5,86.4,1.4,15.4,79466,95696
11777,9496,41.4,88.8,1.5,5.5,112619,138687
11778,12455,38.3,95.3,1,6.7,83089,92700
11779,39237,39.6,90.4,1.2,11.3,87263,96628
11780,14826,43.7,96.8,0.8,4.4,103602,136089
